Source.Name,Open time,Open,Date,Quartile,Month,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
XRPUSDT-1d-2023-06.csv,1.69E+12,0.5251,13-06-2023,Q2,June,0.5658,0.5054,0.5192,771631184,1.69E+12,411364100.8,559433,397475690,211722384.5,0
XRPUSDT-1d-2023-06.csv,1.69E+12,0.5193,14-06-2023,Q2,June,0.5205,0.461,0.4801,544396397,1.69E+12,270686306.4,340474,271736762,135176345.5,0
XRPUSDT-1d-2023-06.csv,1.69E+12,0.4802,15-06-2023,Q2,June,0.4858,0.4663,0.4801,337742736,1.69E+12,161264378.6,202319,170047109,81203505.21,0
XRPUSDT-1d-2023-06.csv,1.69E+12,0.4801,16-06-2023,Q2,June,0.4833,0.4558,0.4759,376661662,1.69E+12,177084797.9,223245,202226513,95103017.31,0
XRPUSDT-1d-2023-06.csv,1.69E+12,0.4758,17-06-2023,Q2,June,0.4869,0.4694,0.4794,189579671,1.69E+12,90724364.3,114551,93331001,44666208.36,0
XRPUSDT-1d-2023-06.csv,1.69E+12,0.4794,18-06-2023,Q2,June,0.4979,0.4741,0.4868,225020544,1.69E+12,109694269.3,162331,114826765,55992741.87,0
XRPUSDT-1d-2023-06.csv,1.69E+12,0.4868,19-06-2023,Q2,June,0.4991,0.4811,0.4936,322187608,1.69E+12,158029204.6,171967,185635687,91030496.42,0
XRPUSDT-1d-2023-06.csv,1.69E+12,0.4935,20-06-2023,Q2,June,0.4967,0.4716,0.4929,378325906,1.69E+12,183652110.9,194078,216177701,104945447.8,0
XRPUSDT-1d-2023-06.csv,1.69E+12,0.4928,21-06-2023,Q2,June,0.5034,0.4892,0.4999,408749828,1.69E+12,202941709.1,223743,201253336,99901919.98,0
XRPUSDT-1d-2023-06.csv,1.69E+12,0.4999,22-06-2023,Q2,June,0.5272,0.4821,0.4938,442729597,1.69E+12,223220058.1,282412,220460792,111186415.8,0
XRPUSDT-1d-2023-06.csv,1.69E+12,0.4937,23-06-2023,Q2,June,0.5023,0.484,0.4961,345391930,1.69E+12,170930777.4,202216,175959099,87070644.97,0
XRPUSDT-1d-2023-06.csv,1.69E+12,0.496,24-06-2023,Q2,June,0.4961,0.478,0.4865,193097516,1.69E+12,94403166.46,119543,87559930,42799028.25,0
XRPUSDT-1d-2023-06.csv,1.69E+12,0.4865,25-06-2023,Q2,June,0.4977,0.4829,0.4903,191583170,1.69E+12,93843422.81,110926,91535455,44847196.91,0
XRPUSDT-1d-2023-06.csv,1.69E+12,0.4903,26-06-2023,Q2,June,0.4919,0.4701,0.479,305338027,1.69E+12,147000463.7,163717,164313915,79125978.46,0
XRPUSDT-1d-2023-06.csv,1.69E+12,0.479,27-06-2023,Q2,June,0.4851,0.4759,0.4838,291583944,1.69E+12,140122274.3,132593,170409437,81890011.9,0
XRPUSDT-1d-2023-06.csv,1.69E+12,0.4839,28-06-2023,Q2,June,0.4844,0.4493,0.4647,325837765,1.69E+12,153329584.8,164563,160054361,75360618.77,0
XRPUSDT-1d-2023-06.csv,1.69E+12,0.4648,29-06-2023,Q2,June,0.4773,0.4612,0.4747,211214558,1.69E+12,99147276.31,102466,99428284,46653603.34,0
XRPUSDT-1d-2023-06.csv,1.69E+12,0.4747,30-06-2023,Q2,June,0.4827,0.4498,0.4729,393612239,1.69E+12,185778507.6,219961,206804219,97637006.36,0
XRPUSDT-1d-2023-07.csv,1.69E+12,0.473,01-07-2023,Q3,July,0.476,0.464,0.4732,232549409,1.69E+12,109210900.3,114813,112551888,52843353.73,0
XRPUSDT-1d-2023-07.csv,1.69E+12,0.4732,02-07-2023,Q3,July,0.4961,0.4697,0.4845,337155089,1.69E+12,163094435,204517,169389025,81968064.09,0
XRPUSDT-1d-2023-07.csv,1.69E+12,0.4844,03-07-2023,Q3,July,0.4914,0.4784,0.489,357020349,1.69E+12,172807675.5,177511,195183785,94480944.93,0
XRPUSDT-1d-2023-07.csv,1.69E+12,0.489,04-07-2023,Q3,July,0.4935,0.4816,0.4872,299439491,1.69E+12,146031583.7,139674,165140768,80532724.37,0
XRPUSDT-1d-2023-07.csv,1.69E+12,0.4872,05-07-2023,Q3,July,0.4919,0.4696,0.4777,292620010,1.69E+12,140622559.5,148600,142142736,68265941.18,0
XRPUSDT-1d-2023-07.csv,1.69E+12,0.4777,06-07-2023,Q3,July,0.4842,0.4612,0.4622,304125111,1.69E+12,143805418.8,146023,145499308,68749062.67,0
XRPUSDT-1d-2023-07.csv,1.69E+12,0.4622,07-07-2023,Q3,July,0.4708,0.4575,0.4687,230688947,1.69E+12,107533605.8,98575,128623111,59963241.06,0
XRPUSDT-1d-2023-07.csv,1.69E+12,0.4686,08-07-2023,Q3,July,0.4748,0.4649,0.4704,116031881,1.69E+12,54396568.35,67003,54698166,25647459.47,0
XRPUSDT-1d-2023-07.csv,1.69E+12,0.4705,09-07-2023,Q3,July,0.4717,0.4664,0.468,80147955,1.69E+12,37629361.63,49473,37615860,17660411.66,0
XRPUSDT-1d-2023-07.csv,1.69E+12,0.4681,10-07-2023,Q3,July,0.48,0.4622,0.478,334545737,1.69E+12,157526649.3,128843,196678652,92586651.08,0
XRPUSDT-1d-2023-07.csv,1.69E+12,0.478,11-07-2023,Q3,July,0.4784,0.4709,0.4753,225681776,1.69E+12,107129231.8,91922,142244626,67514288.8,0
XRPUSDT-1d-2023-07.csv,1.69E+12,0.4753,12-07-2023,Q3,July,0.4772,0.4648,0.471,220670755,1.69E+12,104191095.8,92981,116953580,55207497.84,0
XRPUSDT-1d-2023-07.csv,1.69E+12,0.471,13-07-2023,Q3,July,0.938,0.4695,0.8153,2499971165,1.69E+12,1758482750,2895839,1283335461,902411938.5,0
XRPUSDT-1d-2023-07.csv,1.69E+12,0.8151,14-07-2023,Q3,July,0.8253,0.6686,0.7179,1525175518,1.69E+12,1152019102,1488766,747023143,564392817.1,0
XRPUSDT-1d-2023-07.csv,1.69E+12,0.7178,15-07-2023,Q3,July,0.7362,0.6919,0.7145,703355719,1.69E+12,504452504.5,570922,352604001,252898894.7,0
XRPUSDT-1d-2023-07.csv,1.69E+12,0.7144,16-07-2023,Q3,July,0.79,0.702,0.7468,946644269,1.69E+12,709571949.1,702277,468579505,351170171.9,0
XRPUSDT-1d-2023-07.csv,1.69E+12,0.7468,17-07-2023,Q3,July,0.7662,0.7122,0.7374,608872143,1.69E+12,450106863.5,558954,290377052,214801588,0
XRPUSDT-1d-2023-07.csv,1.69E+12,0.7373,18-07-2023,Q3,July,0.785,0.7304,0.7779,598030609,1.69E+12,450543299,509457,305055600,229840410.9,0
XRPUSDT-1d-2023-07.csv,1.69E+12,0.778,19-07-2023,Q3,July,0.8547,0.7685,0.8199,913495953,1.69E+12,735553987.6,802098,458229227,368957610.7,0
XRPUSDT-1d-2023-07.csv,1.69E+12,0.8198,20-07-2023,Q3,July,0.8489,0.771,0.7942,643507521,1.69E+12,521605123,611114,306579872,248526194.7,0
XRPUSDT-1d-2023-07.csv,1.69E+12,0.7942,21-07-2023,Q3,July,0.7987,0.7601,0.7713,411233974,1.69E+12,320767846,365226,197345145,153928576.4,0
XRPUSDT-1d-2023-07.csv,1.69E+12,0.7713,22-07-2023,Q3,July,0.7799,0.7215,0.7331,324984749,1.69E+12,246545025.7,276750,154064874,116947966.7,0
XRPUSDT-1d-2023-07.csv,1.69E+12,0.733,23-07-2023,Q3,July,0.7525,0.7149,0.7384,293811431,1.69E+12,216785787.3,238690,144354221,106520035,0
